Site,SDCA,Installed CAT,Today_DV,DV_30_Avg,DV_Trend,Today_CA,CA_30_Avg,CA_Trend,Status,B1_Status,B28_Status,B41_Status,Recommendation
Waddegudem_577977_UVTSWGL00094,ETURUNAGARAM,CAT-A,45.676812055520614,39.46114658148335,Increase,98.65000000000002,99.86768123018567,Decrease,"Low Sector: S0,S1 (B28)",Not Applicable,"Low Sector: S0,S1 (B28)",Not Applicable,
Narsimhasagar_WL5046,ETURUNAGARAM,CAT-B,44.37593635823569,55.55193554696923,Decrease,99.235,99.47398564877716,Decrease,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Narsaiguem_278341_UVTSWGL00057,ETURUNAGARAM,CAT-B,27.432590252719724,29.342010391503504,Decrease,99.25,99.431449215654,Decrease,Low Sector: S1 (B1) | Zero Sector: S2 (B28),Low Sector: S1 (B1),Zero Sector: S2 (B28),Not Applicable,Advise Marketing Campaign
Ankampally_278359_UVTSWGL00046,ETURUNAGARAM,CAT-A,25.175547555088933,34.417332252891036,Decrease,99.62,99.53362350685009,Increase,Low Sector: S0 (B28),Not Applicable,Low Sector: S0 (B28),Not Applicable,Advise Marketing Campaign
Banjarellapur_577983_UVTSWGL00003,ETURUNAGARAM,CAT-B,22.595726255327385,11.195207165398925,Increase,83.33333333333333,58.056140567712596,Increase,Low Sector: S2 (B1) | Zero Sector: S0 (B28),Low Sector: S2 (B1),Zero Sector: S0 (B28),Not Applicable,
Kothurmotlagudem_278332_UVTSWGL00002,ETURUNAGARAM,CAT-B,22.109290494583448,20.55478199819721,Increase,98.70333333333333,99.4637680783479,Decrease,Low Sector: S0 (B1) | Low Sector: S1 (B28),Low Sector: S0 (B1),Low Sector: S1 (B28),Not Applicable,
Mulugu-TE_WL2035,MULUGU,CAT-C,143.2639768924562,146.10129312683495,Decrease,100.0,99.50246365754498,Increase,Healthy,Not Applicable,Healthy,Healthy,Advise Marketing Campaign
Vengilapur_WL5140,MULUGU,CAT-D,117.16732059046599,134.9721210191334,Decrease,99.74333333333334,99.58111102412862,Increase,Low Sector: S2 (B1) | Low Sector: S2 (B28),Low Sector: S2 (B1),Low Sector: S2 (B28),Healthy,Advise Marketing Campaign
Chalvai_WL_WL2062,MULUGU,CAT-B,103.22900270018701,101.08432463295736,Increase,99.64833333333333,99.74470999676248,Decrease,Healthy,Healthy,Healthy,Not Applicable,
Jangalpalli_WL5117,MULUGU,CAT-B,78.59208051301516,92.70862909732367,Decrease,100.0,99.64956537440203,Increase,Low Sector: S0 (B1),Low Sector: S0 (B1),Healthy,Not Applicable,Advise Marketing Campaign
Mallampalli_WL2257,MULUGU,CAT-B,64.956139968708,68.27969477868936,Decrease,100.0,99.74652179220448,Increase,Low Sector: S1 (B1),Low Sector: S1 (B1),Healthy,Not Applicable,Advise Marketing Campaign
Mulugu_Ghanpur_WL2067,MULUGU,CAT-B,48.765898761339336,49.38867747634637,Decrease,100.0,99.8911594866324,Increase,Low Sector: S1 (B28),Healthy,Low Sector: S1 (B28),Not Applicable,Advise Marketing Campaign
Venkatapur_WL_1_WL2093,MULUGU,CAT-B,33.63776175025848,28.466340716431485,Increase,99.705,99.90478258437005,Decrease,Low Sector: S1 (B1),Low Sector: S1 (B1),Healthy,Not Applicable,
